channel,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720
red,0.0073643,0.055237,0.051835,0.043321,0.033681,0.028963,0.025,0.031318,0.034458,0.033059,0.036819,0.04791,0.075209,0.083833,0.040534,0.025882,0.029435,0.096315,0.40981,0.59492,0.48306,0.4419,0.32839,0.26576,0.18549,0.14261,0.10679,0.073901,0.045969,0.011987,0.0019017,0.00074491,0.00024202
green,0.0087465,0.075143,0.10312,0.12927,0.14942,0.19179,0.24858,0.37672,0.45492,0.50906,0.67036,0.85874,0.93855,1.0,0.87676,0.85895,0.66097,0.54573,0.3987,0.29141,0.14386,0.086686,0.046569,0.032661,0.021849,0.016681,0.013952,0.012859,0.011204,0.0038035,0.00078707,0.00032949,0.00013348
blue,0.033016,0.35254,0.49797,0.60149,0.65736,0.78336,0.73926,0.776,0.72276,0.61365,0.4557,0.30535,0.17946,0.12249,0.073361,0.04487,0.020265,0.012304,0.0085751,0.0064746,0.0032885,0.002511,0.0020362,0.0023356,0.0027482,0.0036074,0.0036988,0.0031634,0.0022407,0.00069044,0.00012112,6.3737e-05,4.2452e-05
